date,ticker,sw_posts,tw_posts,sw_comments,tw_comments,sw_likes,tw_likes,sw_impressions,tw_impressions,sw_sent,tw_sent,datetime
2025-03-01 23:00:00,TSLA,54,92,18,1671,93,5665,4931,247096,0.53874,0.5357,2025-03-01 23:00:00
2025-03-01 22:00:00,TSLA,63,91,23,2216,105,4939,126224,9755691,0.5236,0.57596,2025-03-01 22:00:00
2025-03-01 21:00:00,TSLA,119,144,30,260,128,6389,12404,2033708,0.49897,0.49403,2025-03-01 21:00:00
2025-03-01 20:00:00,TSLA,96,305,28,6064,133,52086,37137,12412193,0.49761,0.48031,2025-03-01 20:00:00
2025-03-01 19:00:00,TSLA,79,224,13,2242,150,38917,30621,9503314,0.50761,0.50069,2025-03-01 19:00:00
2025-03-01 18:00:00,TSLA,70,190,15,1590,76,16018,9955,2022111,0.50616,0.50078,2025-03-01 18:00:00
2025-03-01 17:00:00,TSLA,66,129,16,524,100,10166,63847,2834379,0.5112,0.60353,2025-03-01 17:00:00
2025-03-01 16:00:00,TSLA,78,132,24,1188,120,10338,83993,7581959,0.49103,0.47527,2025-03-01 16:00:00
2025-03-01 15:00:00,TSLA,101,124,24,2432,119,5230,45357,3594064,0.51674,0.49937,2025-03-01 15:00:00
2025-03-01 14:00:00,TSLA,93,93,33,2679,122,154,60882,5299056,0.50538,0.51796,2025-03-01 14:00:00
2025-03-01 13:00:00,TSLA,80,269,11,2017,171,62227,11892,1951053,0.53076,0.51357,2025-03-01 13:00:00
2025-03-01 12:00:00,TSLA,62,157,24,1705,92,14981,25595,4750099,0.50468,0.4998,2025-03-01 12:00:00
2025-03-01 11:00:00,TSLA,66,147,41,3217,163,21792,70601,15293817,0.49661,0.4789,2025-03-01 11:00:00
2025-03-01 10:00:00,TSLA,52,110,27,521,113,10681,31122,3955736,0.50671,0.58799,2025-03-01 10:00:00
2025-03-01 09:00:00,TSLA,42,61,28,1658,91,2845,23959,667505,0.51352,0.55565,2025-03-01 09:00:00
2025-03-01 08:00:00,TSLA,43,58,19,873,73,1907,4020,328122,0.51407,0.49581,2025-03-01 08:00:00
2025-03-01 07:00:00,TSLA,32,36,10,306,39,359,22607,343938,0.5315,0.53914,2025-03-01 07:00:00
2025-03-01 06:00:00,TSLA,32,90,11,654,55,5725,1950,179362,0.51806,0.50738,2025-03-01 06:00:00
2025-03-01 05:00:00,TSLA,30,81,7,233,62,5561,2473,140440,0.46,0.45913,2025-03-01 05:00:00
2025-03-01 04:00:00,TSLA,13,25,1,27,31,609,2984,95301,0.51346,0.59448,2025-03-01 04:00:00
2025-03-01 03:00:00,TSLA,28,52,14,651,49,1867,22428,1111528,0.47546,0.46593,2025-03-01 03:00:00
2025-03-01 02:00:00,TSLA,23,36,12,410,31,662,6317,283447,0.51857,0.55343,2025-03-01 02:00:00
2025-03-01 01:00:00,TSLA,28,98,17,1287,84,11540,2034,111030,0.52804,0.53493,2025-03-01 01:00:00
2025-03-01 00:00:00,TSLA,43,144,8,646,69,13421,41926,8998874,0.50391,0.48955,2025-03-01 00:00:00
2025-02-28 23:00:00,TSLA,54,162,28,2862,141,27955,11310,964522,0.51448,0.50124,2025-02-28 23:00:00
2025-02-28 22:00:00,TSLA,85,133,13,1173,84,6514,54165,2107738,0.49675,0.48901,2025-02-28 22:00:00
2025-02-28 21:00:00,TSLA,85,112,36,2985,157,7509,33483,2429571,0.53026,0.51215,2025-02-28 21:00:00
2025-02-28 20:00:00,TSLA,89,97,43,3332,197,4189,55743,5105295,0.52371,0.53539,2025-02-28 20:00:00
2025-02-28 19:00:00,TSLA,85,254,48,2009,196,60436,14422,3302045,0.52605,0.57634,2025-02-28 19:00:00
2025-02-28 18:00:00,TSLA,127,337,43,4630,225,82464,30841,12364384,0.51149,0.50745,2025-02-28 18:00:00
2025-02-28 17:00:00,TSLA,170,430,74,32081,318,141965,233122,87619949,0.52334,0.53558,2025-02-28 17:00:00
2025-02-28 16:00:00,TSLA,236,426,67,24095,279,84797,1212613,742383106,0.51868,0.51068,2025-02-28 16:00:00
2025-02-28 15:00:00,TSLA,240,370,30,9969,190,40297,87688,15159672,0.51932,0.56004,2025-02-28 15:00:00
2025-02-28 14:00:00,TSLA,183,201,38,3106,233,10788,49941,4161671,0.49511,0.58178,2025-02-28 14:00:00
2025-02-28 13:00:00,TSLA,240,794,22,8636,339,358127,76075,44578598,0.51522,0.49912,2025-02-28 13:00:00
2025-02-28 12:00:00,TSLA,239,758,34,28261,237,230216,45930,13192017,0.52804,0.57025,2025-02-28 12:00:00
2025-02-28 11:00:00,TSLA,240,566,26,13847,228,124618,376963,210622466,0.52253,0.534,2025-02-28 11:00:00
2025-02-28 10:00:00,TSLA,240,495,8,3928,135,55933,301332,190210375,0.50555,0.58298,2025-02-28 10:00:00
2025-02-28 09:00:00,TSLA,241,471,39,15044,278,102917,159846,72285707,0.5193,0.5082,2025-02-28 09:00:00
2025-02-28 08:00:00,TSLA,194,254,21,3349,224,24035,254568,8865392,0.50207,0.484,2025-02-28 08:00:00
2025-02-28 07:00:00,TSLA,81,99,26,929,121,4212,8651,1034380,0.48477,0.55996,2025-02-28 07:00:00
2025-02-28 06:00:00,TSLA,76,76,23,797,139,14842,11095,1266584,0.50584,0.49192,2025-02-28 06:00:00
2025-02-28 05:00:00,TSLA,72,191,14,2895,145,30036,33793,5330446,0.52268,0.65153,2025-02-28 05:00:00
2025-02-28 04:00:00,TSLA,60,151,10,1387,77,12039,38101,2801081,0.52337,0.52949,2025-02-28 04:00:00
2025-02-28 03:00:00,TSLA,75,135,15,1504,89,8528,9428,1366286,0.51923,0.50775,2025-02-28 03:00:00
2025-02-28 02:00:00,TSLA,0,0,0,0,0,0,0,0,0.5,0.5,2025-02-28 02:00:00
2025-02-28 02:00:00,TSLA,52,88,13,599,0,0,0,0,0.5,0.62445,2025-02-28 02:00:00
2025-02-28 01:00:00,TSLA,46,66,22,866,56,1886,12707,878351,0.51415,0.49536,2025-02-28 01:00:00
2025-02-28 00:00:00,TSLA,122,402,43,5612,164,87523,34996,4360548,0.50662,0.49296,2025-02-28 00:00:00
2025-02-27 23:00:00,TSLA,169,534,40,21578,164,111943,66488,45861383,0.52424,0.55747,2025-02-27 23:00:00
2025-02-27 22:00:00,TSLA,170,480,42,21357,120,66377,34790,4436394,0.50963,0.62347,2025-02-27 22:00:00
2025-02-27 21:00:00,TSLA,128,286,52,9699,175,45673,113434,5881918,0.52509,0.51071,2025-02-27 21:00:00
2025-02-27 20:00:00,TSLA,106,206,36,5304,208,33527,33335,4015213,0.52668,0.51249,2025-02-27 20:00:00
2025-02-27 19:00:00,TSLA,150,251,50,9723,185,30037,55427,12314365,0.52536,0.55086,2025-02-27 19:00:00
2025-02-27 18:00:00,TSLA,204,571,45,20973,272,177542,73767,29600999,0.51848,0.50048,2025-02-27 18:00:00
2025-02-27 17:00:00,TSLA,127,315,22,6038,157,50298,74374,23323838,0.50772,0.51758,2025-02-27 17:00:00
2025-02-27 16:00:00,TSLA,240,567,29,11202,390,213915,105066,40170520,0.51327,0.49746,2025-02-27 16:00:00
2025-02-27 15:00:00,TSLA,240,398,21,3778,218,55241,229420,113349614,0.50672,0.50377,2025-02-27 15:00:00
2025-02-27 14:00:00,TSLA,240,337,40,7189,224,36886,419090,22695250,0.49626,0.47829,2025-02-27 14:00:00
2025-02-27 13:00:00,TSLA,85,295,9,2430,65,26604,96236,42308667,0.50864,0.49993,2025-02-27 13:00:00
2025-02-27 12:00:00,TSLA,109,339,10,3277,119,50867,61665,11041598,0.52263,0.5615,2025-02-27 12:00:00
2025-02-27 11:00:00,TSLA,239,712,21,11819,203,175090,123045,128066863,0.50462,0.48639,2025-02-27 11:00:00
2025-02-27 10:00:00,TSLA,240,526,9,2809,134,63036,272530,113429759,0.51242,0.49687,2025-02-27 10:00:00
2025-02-27 09:00:00,TSLA,239,456,45,13553,229,79753,296966,146385098,0.51424,0.50223,2025-02-27 09:00:00
2025-02-27 08:00:00,TSLA,190,342,31,4355,215,52320,43103,11255455,0.51899,0.64525,2025-02-27 08:00:00
2025-02-27 07:00:00,TSLA,148,175,28,5187,185,10297,334028,77656174,0.51035,0.58586,2025-02-27 07:00:00
2025-02-27 06:00:00,TSLA,127,139,34,4214,201,6328,25143,3538343,0.53207,0.51992,2025-02-27 06:00:00
2025-02-27 05:00:00,TSLA,58,191,26,4687,89,22615,20278,5039054,0.5389,0.57127,2025-02-27 05:00:00
2025-02-27 04:00:00,TSLA,70,173,18,2404,162,28417,154071,16612462,0.53747,0.54184,2025-02-27 04:00:00
2025-02-27 03:00:00,TSLA,36,85,30,1429,139,11402,136259,2317515,0.51628,0.50268,2025-02-27 03:00:00
2025-02-27 02:00:00,TSLA,56,92,18,430,146,8499,19677,1590412,0.53159,0.65926,2025-02-27 02:00:00
2025-02-27 01:00:00,TSLA,69,107,34,3592,189,11668,22486,1315454,0.51707,0.52177,2025-02-27 01:00:00
2025-02-27 00:00:00,TSLA,107,140,31,4499,213,12522,59898,7136387,0.51706,0.58395,2025-02-27 00:00:00
2025-02-26 23:00:00,TSLA,150,465,41,16653,161,94118,76912,50562376,0.5286,0.55939,2025-02-26 23:00:00
2025-02-26 22:00:00,TSLA,126,374,64,16372,237,107103,139936,57439111,0.50748,0.48894,2025-02-26 22:00:00
2025-02-26 21:00:00,TSLA,163,431,37,11882,264,123131,321179,191927294,0.51429,0.5139,2025-02-26 21:00:00
2025-02-26 20:00:00,TSLA,230,476,49,25071,331,132412,108851,69630051,0.50684,0.53706,2025-02-26 20:00:00
2025-02-26 19:00:00,TSLA,201,360,55,3622,205,52236,48595,6067320,0.49658,0.60448,2025-02-26 19:00:00
2025-02-26 18:00:00,TSLA,182,279,42,3861,295,46673,120675,23089419,0.53052,0.51157,2025-02-26 18:00:00
