Date,SW_Sentiment,TW_Sentiment,SW_Posts,TW_Posts,TW_Impressions,SW_Impressions
2025-03-21,0.5067195833333333,0.53462,128.29166666666666,269.2916666666667,36421731.583333336,119667.0
2025-03-22,0.5128488,0.5353316,73.0,155.2,10041765.92,57678.6
2025-03-23,0.51579125,0.5385320833333334,85.54166666666667,181.08333333333334,14863371.75,74547.91666666667
2025-03-24,0.5255508333333333,0.53542875,150.66666666666666,325.75,78593409.04166667,184412.125
2025-03-25,0.5137516,0.5395992,131.56,273.8,41345862.32,145513.2
2025-03-26,0.5163754166666666,0.53565,143.08333333333334,285.625,63908718.416666664,203277.75
2025-03-27,0.5184447999999999,0.5341532,140.76,310.16,41001475.24,118944.2
2025-03-28,0.51293,0.5462220833333333,121.58333333333333,277.5416666666667,25640188.833333332,93977.41666666667
2025-03-29,0.5094004166666667,0.5233520833333333,63.791666666666664,146.75,8103494.125,40964.958333333336
2025-03-30,0.5039072,0.5119076,67.16,144.36,12534736.36,70802.28
2025-03-31,0.5122266666666667,0.5283370833333333,109.25,237.125,37235518.583333336,110197.54166666667
2025-04-01,0.5187856,0.5302876,128.96,272.12,32977587.04,115662.96
2025-04-02,0.5110125,0.5288408333333333,158.625,310.375,110874566.58333333,237081.08333333334
2025-04-03,0.5161208333333334,0.54709625,147.95833333333334,294.5416666666667,52574442.791666664,157195.75
2025-04-04,0.5036752,0.52164,117.52,236.04,25191892.68,101514.88
2025-04-05,0.5186733333333333,0.5436891666666667,48.625,104.54166666666667,3496090.625,43617.0
2025-04-06,0.5131132,0.5301936,88.48,185.6,16685451.52,65410.88
2025-04-07,0.5096641666666667,0.5264691666666667,137.33333333333334,302.0833333333333,57432283.125,133698.5
2025-04-08,0.5179541666666666,0.5439279166666667,146.29166666666666,305.1666666666667,49910148.25,135995.45833333334
